,game_name,release_date,original_price($),discount_price($),steam_rating
365,Killing Floor 2,"18 Nov, 2016",32.99,,86.53%
366,Project Zomboid,"8 Nov, 2013",16.99,,87.32%
367,Age of Empires® III: Complete Collection,"5 Jan, 2012",43.99,,88.29%
368,Borderlands 2,"18 Sep, 2012",21.99,5.49,92.30%
369,Orion Trail,"12 Oct, 2015",8.79,,65.41%
370,Darkest Dungeon®,"19 Jan, 2016",27.99,,88.46%
371,Iron Harvest,"1 Sep, 2020",68.99,,59.42%
372,Iron Harvest,"1 Sep, 2020",68.99,,59.42%
373,SpaceEngine,"11 Jun, 2019",28.99,,92.36%
374,Phoenix Wright: Ace Attorney Trilogy,"9 Apr, 2019",39.99,,94.35%
375,Life is Strange 2,"26 Sep, 2018",9.99,,81.68%
376,BlazBlue: Chronophantasma Extend,"2 Mar, 2016",32.99,4.94,87.43%
377,Axis & Allies 1942 Online,"31 Jul, 2019",22.79,,72.33%
378,theBlu,"5 Apr, 2016",10.99,7.69,80.52%
379,FIVE NIGHTS AT FREDDY'S: HELP WANTED,"28 May, 2019",33.99,,93.11%
380,Noita,"24 Sep, 2019",20.49,,93.25%
381,Euro Truck Simulator 2,"12 Oct, 2012",21.99,,96.35%
382,GORN,"18 Jul, 2019",21.99,,91.70%
383,The LEGO® Movie - Videogame,"7 Feb, 2014",19.99,4.99,81.33%
384,Counter Terrorist Agency,"5 Dec, 2019",22.79,9.11,56.63%
385,Super XYX,"10 Aug, 2020",11.49,9.76,73.19%
386,Pistol Whip,"7 Nov, 2019",24.99,,86.96%
387,AI＊Shoujo/AI＊少女,"16 Mar, 2020",82.47,,76.13%
388,Brick Rigs,"7 Nov, 2016",16.99,,89.40%
389,The Painscreek Killings,"27 Sep, 2017",21.99,8.79,84.50%
390,Post Void,"6 Aug, 2020",3.39,,91.14%
391,Gloomhaven,"17 Jul, 2019",28.99,,80.88%
392,Danganronpa 2: Goodbye Despair,"18 Apr, 2016",21.99,,94.05%
393,Blazing Beaks,"10 May, 2019",17.49,5.77,82.11%
394,Tom Clancy's Ghost Recon® Wildlands,"7 Mar, 2017",59.99,,75.19%
395,Stygian: Reign of the Old Ones,"26 Sep, 2019",33.99,8.49,67.39%
396,Stygian: Reign of the Old Ones,"26 Sep, 2019",33.99,8.49,67.39%
397,STORY OF SEASONS: Friends of Mineral Town,"15 Jul, 2020",59.99,,91.38%
398,Blasphemous,"10 Sep, 2019",28.99,,85.01%
399,Outward,"26 Mar, 2019",49.99,,74.23%
400,TEKKEN 7,"1 Jun, 2017",49.99,,83.11%
401,Grim Dawn,"25 Feb, 2016",27.99,,91.23%
402,Space Hulk: Deathwing - Enhanced Edition,"22 May, 2018",39.99,,71.85%
403,JUMP FORCE,"14 Feb, 2019",79.99,,65.48%
404,JUMP FORCE,"14 Feb, 2019",79.99,,65.48%
405,BOXVR,"21 May, 2019",33.99,,78.14%
406,Muse Dash,"19 Jun, 2019",3.39,,94.87%
407,Tropico 6,"29 Mar, 2019",56.99,,84.30%
